,Cityname,Pagerank,Lines,Datetime
73,重庆,0.009293724888483693,245,2022-07-01
5,西安,0.008359315365773588,215,2022-07-01
187,南阳,0.00828203459551843,226,2022-07-01
1,广州,0.007952989256324377,198,2022-07-01
10,杭州,0.007392224563956949,199,2022-07-01
16,成都,0.007375933391879225,178,2022-07-01
31,武汉,0.00734750783550621,207,2022-07-01
29,郑州,0.00729787057954261,199,2022-07-01
33,长沙,0.006862772880393495,195,2022-07-01
7,苏州,0.006791041573959884,193,2022-07-01
46,合肥,0.006689618183494307,190,2022-07-01
208,襄阳,0.00665867551221526,189,2022-07-01
196,驻马店,0.006656126975782686,191,2022-07-01
11,北京,0.0066485492232765215,163,2022-07-01
43,天津,0.0066297422343166565,173,2022-07-01
36,保定,0.006621268180150931,175,2022-07-01
44,黄冈,0.0064016599582364464,188,2022-07-01
198,信阳,0.0063057132505513385,184,2022-07-01
80,沧州,0.006302554939058534,169,2022-07-01
2,东莞,0.00627133191567842,161,2022-07-01
50,金华,0.006206228265118638,180,2022-07-01
28,开封,0.0061959383283056325,178,2022-07-01
95,临沂,0.006191208584341823,172,2022-07-01
66,岳阳,0.006185747525229346,174,2022-07-01
34,渭南,0.006118404114509532,158,2022-07-01
4,咸阳,0.006088376075383633,154,2022-07-01
194,赣州,0.0059567464600406295,168,2022-07-01
64,唐山,0.005927142789614449,150,2022-07-01
61,石家庄,0.005909975759490321,158,2022-07-01
40,济南,0.005898513812185653,164,2022-07-01
48,潍坊,0.005890574114535335,159,2022-07-01
91,九江,0.005845476913428746,173,2022-07-01
54,南京,0.005831819865388827,166,2022-07-01
3,深圳,0.0058270697509809205,147,2022-07-01
0,佛山,0.0057502202453964145,153,2022-07-01
94,菏泽,0.005747481382220337,164,2022-07-01
8,上海,0.005741806864768054,166,2022-07-01
132,荆州,0.005722632244493222,163,2022-07-01
206,荆门,0.0057097594949265095,161,2022-07-01
78,宜春,0.005678998039266028,162,2022-07-01
51,洛阳,0.005645678143726856,154,2022-07-01
79,南昌,0.0056132574719137945,162,2022-07-01
146,商丘,0.00561066427590553,160,2022-07-01
52,宁波,0.005560285427899533,162,2022-07-01
6,惠州,0.005558190686991444,144,2022-07-01
14,无锡,0.005546986835154798,161,2022-07-01
41,新乡,0.005531225299239876,157,2022-07-01
145,安庆,0.005495299998213936,163,2022-07-01
125,徐州,0.0054940733097666155,157,2022-07-01
19,清远,0.005472197972574758,150,2022-07-01
175,抚州,0.005464766102511903,158,2022-07-01
127,平顶山,0.005443705924081411,156,2022-07-01
12,廊坊,0.0054412548896921945,143,2022-07-01
77,宝鸡,0.005438965403353323,132,2022-07-01
130,衡阳,0.005425655569151698,152,2022-07-01
70,邢台,0.005424347603379358,149,2022-07-01
30,孝感,0.005370893879374602,157,2022-07-01
9,嘉兴,0.005357379717327571,156,2022-07-01
98,湛江,0.0053457142540789685,120,2022-07-01
117,周口,0.005286823652956603,156,2022-07-01
24,常州,0.00528603697446886,152,2022-07-01
