,Unnamed: 0.1,Unnamed: 0,Cityname,Pagerank,Lines,Datetime
0,0,7,北京,0.005180004,313,2019/1/2
1,1,58,重庆,0.00514208,311,2019/1/2
2,2,10,西安,0.005117552,310,2019/1/2
3,3,17,成都,0.005109474,307,2019/1/2
4,4,27,郑州,0.005022219,304,2019/1/2
5,5,18,天津,0.004843573,293,2019/1/2
6,6,169,南阳,0.00480305,293,2019/1/2
7,7,44,长沙,0.004783454,291,2019/1/2
8,8,1,广州,0.004760257,285,2019/1/2
9,9,131,临沂,0.00471843,287,2019/1/2
10,10,4,苏州,0.004715494,289,2019/1/2
11,11,15,保定,0.004676763,285,2019/1/2
12,12,13,杭州,0.004652756,282,2019/1/2
13,13,72,岳阳,0.004649877,284,2019/1/2
14,14,5,上海,0.004648404,284,2019/1/2
15,15,29,南京,0.004607939,283,2019/1/2
16,16,42,济南,0.004569219,278,2019/1/2
17,17,32,武汉,0.004549739,280,2019/1/2
18,18,51,石家庄,0.004531146,280,2019/1/2
19,19,46,沧州,0.004525444,276,2019/1/2
20,20,89,邯郸,0.004523559,274,2019/1/2
21,21,26,开封,0.004503126,278,2019/1/2
22,22,201,襄阳,0.004449101,277,2019/1/2
23,23,3,深圳,0.0044309,268,2019/1/2
24,24,39,青岛,0.004407438,270,2019/1/2
25,25,40,许昌,0.004368419,268,2019/1/2
26,26,38,潍坊,0.004363933,266,2019/1/2
27,27,98,菏泽,0.00435572,270,2019/1/2
28,28,0,佛山,0.004350879,262,2019/1/2
29,29,146,荆州,0.004334048,268,2019/1/2
30,30,9,无锡,0.004332064,266,2019/1/2
31,31,36,新乡,0.004316558,261,2019/1/2
32,32,195,驻马店,0.004309708,266,2019/1/2
33,33,6,廊坊,0.004285487,262,2019/1/2
34,34,126,衡水,0.004284878,263,2019/1/2
35,35,57,邢台,0.004283323,263,2019/1/2
36,36,11,咸阳,0.004276537,263,2019/1/2
37,37,52,唐山,0.004267191,254,2019/1/2
38,38,63,合肥,0.004263243,265,2019/1/2
39,39,53,黄冈,0.004244421,263,2019/1/2
40,40,138,南宁,0.004223419,255,2019/1/2
41,41,55,贵阳,0.004207101,257,2019/1/2
42,42,116,徐州,0.004200208,260,2019/1/2
43,43,121,平顶山,0.004177897,257,2019/1/2
44,44,205,赣州,0.00417355,255,2019/1/2
45,45,210,荆门,0.004166152,258,2019/1/2
46,46,2,东莞,0.00415532,255,2019/1/2
47,47,54,金华,0.004154086,257,2019/1/2
48,48,84,昆明,0.004151876,250,2019/1/2
49,49,209,桂林,0.004144293,257,2019/1/2
50,50,148,商丘,0.004140376,253,2019/1/2
51,51,203,濮阳,0.004123263,251,2019/1/2
52,52,158,常德,0.004116417,257,2019/1/2
53,53,118,聊城,0.004104111,251,2019/1/2
54,54,41,德州,0.004100164,251,2019/1/2
55,55,45,滁州,0.004096702,255,2019/1/2
56,56,196,信阳,0.004085396,252,2019/1/2
57,57,65,宁波,0.004059716,253,2019/1/2
58,58,14,嘉兴,0.004059393,249,2019/1/2
59,59,112,遵义,0.004054609,244,2019/1/2
60,60,180,衡阳,0.004045855,248,2019/1/2
61,61,73,洛阳,0.004037608,248,2019/1/2
62,62,97,济宁,0.004012521,248,2019/1/2
63,63,31,孝感,0.003989526,246,2019/1/2
64,64,228,随州,0.003989107,242,2019/1/2
65,65,81,南昌,0.00395489,247,2019/1/2
66,66,111,湛江,0.003952544,236,2019/1/2
67,67,240,永州,0.003941553,240,2019/1/2
68,68,202,抚州,0.003935905,242,2019/1/2
69,69,79,周口,0.003921979,242,2019/1/2
70,70,176,运城,0.003905826,238,2019/1/2
71,71,12,绍兴,0.003899249,241,2019/1/2
72,72,22,清远,0.003897181,238,2019/1/2
73,73,233,宜昌,0.003891659,240,2019/1/2
74,74,50,渭南,0.003865399,232,2019/1/2
75,75,157,阜阳,0.003855845,234,2019/1/2
76,76,8,惠州,0.003854271,235,2019/1/2
77,77,245,怀化,0.003839502,236,2019/1/2
78,78,100,温州,0.003836976,237,2019/1/2
79,79,43,湘潭,0.003827104,236,2019/1/2
80,80,56,黔南布依族苗族,0.003792476,228,2019/1/2
81,81,125,九江,0.003790723,236,2019/1/2
82,82,33,南通,0.003781973,232,2019/1/2
83,83,19,常州,0.003769784,233,2019/1/2
84,84,250,兰州,0.003762095,222,2019/1/2
85,85,170,安阳,0.003760252,232,2019/1/2
86,86,25,太原,0.003756652,228,2019/1/2
87,87,99,台州,0.003755805,231,2019/1/2
88,88,24,晋中,0.003754423,225,2019/1/2
89,89,75,扬州,0.00374648,230,2019/1/2
90,90,62,株洲,0.003743605,230,2019/1/2
91,91,231,榆林,0.003739376,224,2019/1/2
92,92,80,宜春,0.003735799,230,2019/1/2
93,93,67,泰安,0.003734924,228,2019/1/2
94,94,74,咸宁,0.003730132,227,2019/1/2
95,95,246,湘西土家族苗族,0.00369919,226,2019/1/2
96,96,76,滨州,0.003698924,226,2019/1/2
