,Cityname,Pagerank,Lines,Datetime
51,重庆,0.008331406686061263,252,2022-01-27
4,苏州,0.007921170735449283,248,2022-01-27
20,成都,0.0077177697047226945,231,2022-01-27
153,天津,0.00766465208922941,212,2022-01-27
31,北京,0.007531871998972018,210,2022-01-27
1,广州,0.0074590182612869595,228,2022-01-27
5,上海,0.007278447703484883,235,2022-01-27
14,武汉,0.0072209139748516315,235,2022-01-27
39,南京,0.007101996009308484,230,2022-01-27
38,杭州,0.006964417537280683,231,2022-01-27
17,长沙,0.006952422311955898,229,2022-01-27
3,深圳,0.006798272490193708,217,2022-01-27
8,合肥,0.006773817940879201,222,2022-01-27
6,西安,0.00674901051115687,214,2022-01-27
55,衡阳,0.006711377370213101,216,2022-01-27
35,岳阳,0.006556764094150772,215,2022-01-27
2,东莞,0.0065277571832750405,207,2022-01-27
220,南阳,0.006526372797172792,212,2022-01-27
83,赣州,0.006508222687858938,215,2022-01-27
208,桂林,0.006502392532839152,211,2022-01-27
30,湛江,0.006455499878665578,177,2022-01-27
117,保定,0.00644934183175338,186,2022-01-27
15,黄冈,0.006414741868088446,212,2022-01-27
99,青岛,0.006407825990767781,183,2022-01-27
134,宁波,0.006406616987405136,211,2022-01-27
11,无锡,0.006326710492265522,210,2022-01-27
25,南通,0.0062991903281692276,193,2022-01-27
166,沧州,0.006214445324407421,174,2022-01-27
48,嘉兴,0.006185010944703014,207,2022-01-27
41,常州,0.006124287356999715,204,2022-01-27
121,石家庄,0.006118089430227558,180,2022-01-27
12,清远,0.006113271552101365,199,2022-01-27
180,抚州,0.00611229446290619,206,2022-01-27
96,金华,0.0060699945889128755,204,2022-01-27
111,九江,0.006055665403308633,204,2022-01-27
109,郑州,0.006039107966779422,190,2022-01-27
10,惠州,0.006034500227540016,202,2022-01-27
84,吉安,0.006005905324179888,202,2022-01-27
74,南昌,0.0060039555707240636,202,2022-01-27
142,南宁,0.005980930573582292,181,2022-01-27
42,安庆,0.005969127770052266,198,2022-01-27
40,滁州,0.005967691190935051,196,2022-01-27
68,韶关,0.0059577026183485916,198,2022-01-27
0,佛山,0.005918131248712221,191,2022-01-27
85,济南,0.00589452263217799,178,2022-01-27
106,上饶,0.0058825365485555715,197,2022-01-27
80,永州,0.005871277436264873,193,2022-01-27
67,荆州,0.0058497790393413065,189,2022-01-27
34,常德,0.005838286514750429,195,2022-01-27
154,唐山,0.0058327262169432514,149,2022-01-27
141,襄阳,0.005821668365015612,190,2022-01-27
32,廊坊,0.005785516597923877,159,2022-01-27
75,宜春,0.005721348579992065,192,2022-01-27
37,绍兴,0.005675999318926287,192,2022-01-27
79,湖州,0.005652702848544737,190,2022-01-27
13,盐城,0.005632897410447161,169,2022-01-27
124,邯郸,0.005584968222127988,170,2022-01-27
168,临沂,0.005582517357577702,160,2022-01-27
94,信阳,0.005511934789946805,181,2022-01-27
19,孝感,0.005493712522621063,181,2022-01-27
66,株洲,0.0054896256074007,184,2022-01-27
87,衢州,0.005486958100628554,185,2022-01-27
98,潍坊,0.005467398974298881,150,2022-01-27
91,贵阳,0.00543901972120704,176,2022-01-27
198,驻马店,0.005411842994826271,178,2022-01-27
43,湘潭,0.005399116931294382,179,2022-01-27
9,六安,0.005362878658701508,179,2022-01-27
129,咸宁,0.005360145089295092,181,2022-01-27
54,郴州,0.005338439154826255,173,2022-01-27
159,怀化,0.005330938069726464,178,2022-01-27
118,芜湖,0.005316178424804285,180,2022-01-27
89,连云港,0.005255182899473548,160,2022-01-27
132,荆门,0.005243015874274635,170,2022-01-27
53,镇江,0.005229790412450895,174,2022-01-27
58,徐州,0.005229566623610789,169,2022-01-27
63,泉州,0.00522400326066296,178,2022-01-27
93,菏泽,0.005221604152874233,168,2022-01-27
101,中山,0.005196525231105213,171,2022-01-27
28,淮安,0.005182494306860763,166,2022-01-27
71,邵阳,0.005164447607891344,171,2022-01-27
77,昆明,0.0050916087131855515,153,2022-01-27
36,河源,0.005056362023514582,173,2022-01-27
90,黔南布依族苗族,0.005040282131571595,156,2022-01-27
145,温州,0.005036898968284552,170,2022-01-27
103,扬州,0.005024110032389075,164,2022-01-27
152,宣城,0.0050154461536503075,170,2022-01-27
113,遵义,0.005008786525470181,161,2022-01-27
211,南平,0.004996354480025277,169,2022-01-27
157,福州,0.004918272712252312,167,2022-01-27
140,黄石,0.004895400451581446,165,2022-01-27
144,台州,0.004889287462200453,166,2022-01-27
49,泰州,0.004880505264208536,156,2022-01-27
210,秦皇岛,0.004849225766895184,111,2022-01-27
23,阜阳,0.0048458943610817495,160,2022-01-27
88,德州,0.0048451498185969125,142,2022-01-27
201,铜仁,0.0048382091310170995,161,2022-01-27
148,景德镇,0.004835368984077204,164,2022-01-27
16,肇庆,0.00482578298426787,155,2022-01-27
127,马鞍山,0.004804137284830992,161,2022-01-27
130,周口,0.004791588564273436,158,2022-01-27
112,池州,0.004786875844711221,162,2022-01-27
62,厦门,0.004765799057359514,160,2022-01-27
123,邢台,0.00473831903668907,147,2022-01-27
133,商丘,0.004717402962474228,153,2022-01-27
164,沈阳,0.0047042220862026606,102,2022-01-27
188,柳州,0.004687446164599779,155,2022-01-27
59,江门,0.004679284571505707,135,2022-01-27
182,黄山,0.004655229667564418,158,2022-01-27
223,兰州,0.004641108519440661,127,2022-01-27
72,漳州,0.004634034259438409,154,2022-01-27
233,三明,0.00463297670566318,158,2022-01-27
139,宜昌,0.004612512222165376,153,2022-01-27
246,葫芦岛,0.0045742132988638665,103,2022-01-27
227,衡水,0.004556815649821276,136,2022-01-27
100,宿州,0.004535113582361475,149,2022-01-27
110,开封,0.004533294114773162,145,2022-01-27
29,宿迁,0.004518063751492036,146,2022-01-27
45,太原,0.004457457822924931,134,2022-01-27
151,滨州,0.004387982116991198,115,2022-01-27
92,济宁,0.0043690858261299014,139,2022-01-27
7,咸阳,0.004361411434883405,134,2022-01-27
131,梧州,0.004334915218384371,136,2022-01-27
215,湘西土家族苗族,0.004286628864593414,141,2022-01-27
226,十堰,0.00427732910800733,138,2022-01-27
44,晋中,0.004264688182345591,132,2022-01-27
156,新乡,0.004254930259522997,132,2022-01-27
76,渭南,0.004228932271847414,128,2022-01-27
230,平顶山,0.004145984051958539,133,2022-01-27
150,淄博,0.0041331005405063044,114,2022-01-27
205,洛阳,0.004074027359625091,129,2022-01-27
136,乌鲁木齐,0.004069351090843937,54,2022-01-27
26,茂名,0.004065266575673509,112,2022-01-27
27,梅州,0.004038752429550015,137,2022-01-27
179,随州,0.004031477324831293,128,2022-01-27
239,安康,0.004028055486529682,127,2022-01-27
224,定西,0.004016991140560273,104,2022-01-27
70,娄底,0.004009652904002648,132,2022-01-27
149,铜陵,0.003993714140673075,134,2022-01-27
33,淮南,0.0039935545650469,131,2022-01-27
61,达州,0.003982841031982275,128,2022-01-27
269,三门峡,0.003964911418390687,121,2022-01-27
86,泰安,0.003952501887958839,123,2022-01-27
160,聊城,0.003948437009406508,122,2022-01-27
207,黔东南苗族侗族,0.003920493551574094,126,2022-01-27
22,南充,0.0038897670570591063,122,2022-01-27
65,亳州,0.0038883207227977845,127,2022-01-27
57,蚌埠,0.003873425207152598,126,2022-01-27
78,曲靖,0.0038521800715813266,118,2022-01-27
191,运城,0.0038492816998869197,119,2022-01-27
122,恩施土家族苗族,0.0038402104061236323,126,2022-01-27
203,贺州,0.003826735812175721,120,2022-01-27
18,益阳,0.0038243218527074852,125,2022-01-27
185,长春,0.0038135975256948272,74,2022-01-27
241,锦州,0.003813461715669729,78,2022-01-27
216,丽水,0.00378953743312705,128,2022-01-27
105,烟台,0.003776777413566606,110,2022-01-27
190,临汾,0.0037161483060175146,112,2022-01-27
219,鹰潭,0.0036709459815540474,122,2022-01-27
119,贵港,0.0036541384390005806,113,2022-01-27
