,Cityname,Pagerank,Lines,Datetime
21,天津,0.004913391206460284,330,2021-11-04
18,成都,0.004845521818577187,324,2021-11-04
9,西安,0.004703736334830562,328,2021-11-04
93,重庆,0.004668679873834922,326,2021-11-04
87,邯郸,0.004624487412058786,316,2021-11-04
40,长沙,0.00460736548942887,311,2021-11-04
58,保定,0.004595591912270207,324,2021-11-04
44,郑州,0.004569469018953028,320,2021-11-04
28,沧州,0.004563014648741266,319,2021-11-04
29,唐山,0.0045621934757396005,304,2021-11-04
7,北京,0.004557777586303674,307,2021-11-04
193,南阳,0.0045146753129493376,320,2021-11-04
62,石家庄,0.0044394449016763385,302,2021-11-04
69,菏泽,0.004387264150781951,311,2021-11-04
2,佛山,0.004364440777765543,290,2021-11-04
5,上海,0.0043635977763821655,306,2021-11-04
34,济南,0.004340341325379238,309,2021-11-04
76,邢台,0.00433229570701351,307,2021-11-04
113,临沂,0.004318880527847689,306,2021-11-04
50,合肥,0.004299408628158922,303,2021-11-04
3,广州,0.0042756475012891175,299,2021-11-04
13,杭州,0.00427048368471184,301,2021-11-04
4,苏州,0.0042467253275323864,299,2021-11-04
6,廊坊,0.004240309094827513,300,2021-11-04
0,东莞,0.004235735171000477,292,2021-11-04
161,常德,0.004206602131946703,299,2021-11-04
33,武汉,0.0042028532513325185,297,2021-11-04
121,南宁,0.004195148217801472,291,2021-11-04
68,济宁,0.004194369027875837,299,2021-11-04
184,驻马店,0.0041885589802766994,296,2021-11-04
10,咸阳,0.004183937564818608,295,2021-11-04
46,新乡,0.004144588750886272,297,2021-11-04
36,潍坊,0.004144022354811777,292,2021-11-04
43,开封,0.004142044785545561,297,2021-11-04
31,南京,0.004136333857840888,283,2021-11-04
37,青岛,0.004133007268239118,292,2021-11-04
101,聊城,0.00412848284653401,293,2021-11-04
59,许昌,0.0041132626776185345,293,2021-11-04
73,徐州,0.004112171712568356,291,2021-11-04
165,荆州,0.004084983489446335,291,2021-11-04
20,清远,0.004082246285060849,276,2021-11-04
199,襄阳,0.004077484668386789,292,2021-11-04
153,商丘,0.004074933342437574,293,2021-11-04
1,深圳,0.004063319324678267,284,2021-11-04
60,岳阳,0.004058896310025278,287,2021-11-04
106,周口,0.004053295444685089,289,2021-11-04
218,荆门,0.0040474767837780454,289,2021-11-04
35,德州,0.0040403257462328,287,2021-11-04
116,衡水,0.004025844329747891,286,2021-11-04
80,洛阳,0.004023969984036313,286,2021-11-04
185,信阳,0.003997074808051032,282,2021-11-04
183,濮阳,0.003982681491390932,283,2021-11-04
25,晋中,0.003973597767715308,282,2021-11-04
67,滨州,0.003971981701163726,281,2021-11-04
155,遵义,0.003944731540764352,276,2021-11-04
142,平顶山,0.003941469281911591,281,2021-11-04
126,安阳,0.003939145492599852,281,2021-11-04
57,黄冈,0.003929496834844769,278,2021-11-04
51,六安,0.00392523246669651,280,2021-11-04
63,贵阳,0.003921124208266131,275,2021-11-04
49,金华,0.003917656237464143,277,2021-11-04
78,昆明,0.003910403956212275,272,2021-11-04
54,滁州,0.003901123489271725,280,2021-11-04
55,渭南,0.003890419611870483,279,2021-11-04
56,宁波,0.0038902305286873315,277,2021-11-04
32,孝感,0.003880987148724823,276,2021-11-04
138,临汾,0.0038798099435038346,274,2021-11-04
84,湛江,0.0038735209550931184,252,2021-11-04
254,永州,0.003867526414520814,271,2021-11-04
27,常州,0.0038611367749973643,273,2021-11-04
190,榆林,0.003860697912717641,270,2021-11-04
211,宜昌,0.003860554931645773,275,2021-11-04
66,淄博,0.0038506180807786772,273,2021-11-04
11,无锡,0.0038487636813782644,272,2021-11-04
197,赣州,0.003844894474843751,269,2021-11-04
171,衡阳,0.003841766471467314,270,2021-11-04
221,随州,0.003841270496784819,270,2021-11-04
90,沈阳,0.0038300618203049638,269,2021-11-04
139,运城,0.0038286156898038977,275,2021-11-04
86,南昌,0.003826375805569069,273,2021-11-04
8,惠州,0.0038258053381666247,267,2021-11-04
12,嘉兴,0.003813795753338267,269,2021-11-04
208,桂林,0.0038019274382730785,266,2021-11-04
47,泰安,0.003791133988534044,270,2021-11-04
82,秦皇岛,0.0037810055543662452,266,2021-11-04
109,葫芦岛,0.0037796577054238873,266,2021-11-04
26,太原,0.0037732432952627187,267,2021-11-04
201,三门峡,0.00376901739726243,264,2021-11-04
64,黔南布依族苗族,0.003751685814031516,259,2021-11-04
136,九江,0.003750281963752603,264,2021-11-04
85,宜春,0.0037402101303338,264,2021-11-04
48,烟台,0.003738448700815353,261,2021-11-04
72,宿州,0.003721452025459873,266,2021-11-04
111,连云港,0.0037098010237502583,262,2021-11-04
88,焦作,0.0037034171010936175,263,2021-11-04
14,绍兴,0.003699120604852781,264,2021-11-04
200,抚州,0.003696176402748887,263,2021-11-04
220,承德,0.003687530729931633,258,2021-11-04
154,宝鸡,0.00368423267178566,258,2021-11-04
137,安庆,0.0036814581522677603,260,2021-11-04
147,阜阳,0.0036737272452998975,263,2021-11-04
19,湖州,0.003669291943272021,261,2021-11-04
162,张家口,0.0036684003218313364,255,2021-11-04
135,长春,0.0036569904441320356,252,2021-11-04
75,温州,0.0036548361597707173,259,2021-11-04
65,株洲,0.003650557013731847,260,2021-11-04
189,延安,0.0036376067757297337,258,2021-11-04
79,绵阳,0.003632175826417698,254,2021-11-04
115,咸宁,0.003622200955516861,259,2021-11-04
70,淮安,0.003617380493344852,257,2021-11-04
95,扬州,0.0036162564715123986,258,2021-11-04
119,毕节,0.003615824794909338,251,2021-11-04
168,南充,0.0036109352676970624,255,2021-11-04
110,韶关,0.003608956827227585,256,2021-11-04
38,南通,0.0035933653879429202,254,2021-11-04
146,亳州,0.003590337097265725,255,2021-11-04
74,台州,0.0035859827299065195,254,2021-11-04
219,郴州,0.0035838213407347495,250,2021-11-04
210,邵阳,0.0035823315605195095,253,2021-11-04
42,漳州,0.003575489590668433,251,2021-11-04
108,锦州,0.0035624041461637026,251,2021-11-04
166,商洛,0.0035600843326232803,251,2021-11-04
39,湘潭,0.0035430700834606687,251,2021-11-04
175,柳州,0.003542704236507172,245,2021-11-04
240,汉中,0.0035303480003003665,251,2021-11-04
232,铜仁,0.0035263240375304674,251,2021-11-04
233,十堰,0.003514549564976142,247,2021-11-04
71,宿迁,0.0035083408340860975,248,2021-11-04
45,泉州,0.003501939057530562,247,2021-11-04
248,怀化,0.003494939685392046,247,2021-11-04
24,肇庆,0.0034759399836826873,240,2021-11-04
249,湘西土家族苗族,0.003473009977434602,243,2021-11-04
124,蚌埠,0.003472452689485871,244,2021-11-04
191,达州,0.003452719877257057,246,2021-11-04
104,盐城,0.0034525861833167807,244,2021-11-04
209,漯河,0.00344849206902019,244,2021-11-04
198,吉安,0.003442385117482647,242,2021-11-04
17,德阳,0.003424194736227468,240,2021-11-04
15,中山,0.003421285657527088,240,2021-11-04
195,上饶,0.0034168449749678717,242,2021-11-04
127,芜湖,0.0034150835117601743,243,2021-11-04
22,江门,0.0034003278730103358,229,2021-11-04
229,安康,0.003397177649512111,239,2021-11-04
144,鹤壁,0.0033671709005208914,237,2021-11-04
123,枣庄,0.0033661241313646473,240,2021-11-04
130,衢州,0.0033598963366220152,237,2021-11-04
96,泰州,0.003353994535224316,238,2021-11-04
216,长治,0.0033463888029076827,237,2021-11-04
132,福州,0.0033305265692191366,235,2021-11-04
77,曲靖,0.0033185675127128103,233,2021-11-04
286,中卫,0.0033159477444592456,223,2021-11-04
311,哈密,0.0032995995624205384,221,2021-11-04
114,吕梁,0.003295291443957621,232,2021-11-04
306,酒泉,0.003295287030226966,223,2021-11-04
304,兰州,0.0032933399361577973,228,2021-11-04
252,赤峰,0.003292316929313822,228,2021-11-04
160,盘锦,0.003292017980382889,229,2021-11-04
30,镇江,0.0032901525521421785,234,2021-11-04
143,黄石,0.003287490814350618,234,2021-11-04
23,眉山,0.0032822175782218207,226,2021-11-04
125,忻州,0.0032623655409959994,228,2021-11-04
237,吴忠,0.0032571157460534296,222,2021-11-04
207,泸州,0.0032570308725669737,225,2021-11-04
81,益阳,0.0032501626626373816,229,2021-11-04
313,平凉,0.0032316004943992865,221,2021-11-04
112,安顺,0.003230456868344894,224,2021-11-04
105,东营,0.003220573741943708,225,2021-11-04
194,鄂尔多斯,0.0032136276824148617,224,2021-11-04
156,广安,0.003209246103032794,224,2021-11-04
159,日照,0.0031927355937863442,224,2021-11-04
226,恩施土家族苗族,0.0031914283705841975,225,2021-11-04
245,梧州,0.0031863962599502126,213,2021-11-04
41,厦门,0.003184309238760944,221,2021-11-04
178,凉山彝族,0.0031740087306375217,216,2021-11-04
217,晋城,0.0031699663330995104,222,2021-11-04
94,河源,0.003169417081050694,217,2021-11-04
83,茂名,0.0031663351266647977,210,2021-11-04
213,黔东南苗族侗族,0.003155902751570864,220,2021-11-04
243,南平,0.003145777050762049,222,2021-11-04
173,娄底,0.00314204152476053,219,2021-11-04
239,六盘水,0.0031372744022218875,215,2021-11-04
231,池州,0.0031355262669576266,220,2021-11-04
188,大连,0.003132243682399608,201,2021-11-04
89,淮南,0.003128877059700441,220,2021-11-04
251,朝阳,0.003124884873230852,216,2021-11-04
214,昭通,0.003100830650316887,214,2021-11-04
167,百色,0.003097996664570068,209,2021-11-04
