,Cityname,Pagerank,Lines,Datetime
5,北京,0.0052639714038868,320,2019-09-01
10,西安,0.005193765784421466,321,2019-09-01
95,重庆,0.005156805861841295,318,2019-09-01
1,广州,0.005123290214192543,311,2019-09-01
12,天津,0.005104768505506604,311,2019-09-01
22,成都,0.004970953722396814,323,2019-09-01
27,郑州,0.004838448851263833,319,2019-09-01
167,南阳,0.00467211318058742,310,2019-09-01
13,保定,0.004637059467278393,303,2019-09-01
36,长沙,0.004581654781744208,300,2019-09-01
40,潍坊,0.004545744411081889,299,2019-09-01
87,济宁,0.004541091412325248,281,2019-09-01
34,武汉,0.004533054502386704,301,2019-09-01
42,石家庄,0.00451111336113577,298,2019-09-01
48,渭南,0.004504754837673625,298,2019-09-01
144,商丘,0.004488925072686656,278,2019-09-01
88,菏泽,0.004467295308728573,298,2019-09-01
9,咸阳,0.00446484523722337,292,2019-09-01
71,邯郸,0.0044401849516909645,296,2019-09-01
31,新乡,0.004435545962741016,295,2019-09-01
45,济南,0.0044243851281199,292,2019-09-01
55,邢台,0.0044227432638342945,293,2019-09-01
66,合肥,0.004408321913990698,292,2019-09-01
6,苏州,0.004374082304177229,291,2019-09-01
91,临沂,0.00437324157199148,291,2019-09-01
49,沧州,0.004372597105411031,291,2019-09-01
226,襄阳,0.004354329643428346,293,2019-09-01
26,开封,0.004353186929896049,289,2019-09-01
7,上海,0.004314623504824071,284,2019-09-01
108,聊城,0.004303182626786907,284,2019-09-01
118,徐州,0.004302580658057434,285,2019-09-01
143,衡阳,0.004288989875555826,257,2019-09-01
0,佛山,0.004286865318599676,277,2019-09-01
4,廊坊,0.004286690471750249,281,2019-09-01
17,杭州,0.004266173640571952,284,2019-09-01
179,荆州,0.004263574111148934,285,2019-09-01
47,唐山,0.004235834707473886,280,2019-09-01
190,驻马店,0.004230708682396917,282,2019-09-01
68,洛阳,0.004212629888526663,278,2019-09-01
41,青岛,0.004181085912859239,277,2019-09-01
3,深圳,0.00418040877906594,270,2019-09-01
30,南京,0.004174363277547245,277,2019-09-01
2,东莞,0.0041650617684754546,269,2019-09-01
111,湛江,0.00414892658122642,236,2019-09-01
207,信阳,0.004124274521955826,275,2019-09-01
58,黄冈,0.004122109893796503,275,2019-09-01
77,岳阳,0.0041205461967390175,273,2019-09-01
204,兰州,0.004108927533279747,263,2019-09-01
107,衡水,0.004107927405554399,274,2019-09-01
164,常德,0.004100271557280775,273,2019-09-01
159,运城,0.004098195237602622,272,2019-09-01
98,昆明,0.00409422693143446,265,2019-09-01
243,荆门,0.004093571487572208,274,2019-09-01
11,无锡,0.004082709609085344,271,2019-09-01
53,贵阳,0.004072220879883657,265,2019-09-01
114,平顶山,0.0040714631874053464,272,2019-09-01
227,三门峡,0.0040524457368712324,266,2019-09-01
37,张家口,0.004042388027071073,266,2019-09-01
218,榆林,0.004022618589779702,264,2019-09-01
33,孝感,0.004022332708604962,267,2019-09-01
8,惠州,0.004017045638251206,259,2019-09-01
43,许昌,0.004006824901608086,267,2019-09-01
128,遵义,0.00400567365956393,262,2019-09-01
89,周口,0.003999572866921089,269,2019-09-01
93,温州,0.003998432863786159,261,2019-09-01
19,晋中,0.003997251233213697,263,2019-09-01
44,德州,0.0039966779360518755,264,2019-09-01
56,滁州,0.003986830896619544,266,2019-09-01
206,赣州,0.0039648900206730306,260,2019-09-01
65,宁波,0.003939433593745413,260,2019-09-01
160,安阳,0.003937760794226483,263,2019-09-01
126,九江,0.003922035735607543,260,2019-09-01
67,六安,0.003913702575893664,261,2019-09-01
70,金华,0.0039029247236053027,257,2019-09-01
141,南宁,0.0038828708200246056,251,2019-09-01
80,南昌,0.003877498767196305,254,2019-09-01
199,濮阳,0.003849452407370224,256,2019-09-01
239,随州,0.0038302775447164846,253,2019-09-01
61,绵阳,0.003826454977569951,252,2019-09-01
228,桂林,0.0038138958026055292,251,2019-09-01
