,Cityname,Pagerank,Lines,Datetime
77,重庆,0.005406868543445898,321,2018-11-24
7,北京,0.005384007960219128,318,2018-11-24
20,成都,0.0052672653680663935,312,2018-11-24
1,广州,0.0050927781378716595,307,2018-11-24
21,保定,0.004973579418663189,297,2018-11-24
193,南阳,0.004875701597104009,298,2018-11-24
38,郑州,0.004869623268693703,297,2018-11-24
32,长沙,0.004856958496015156,293,2018-11-24
9,西安,0.0048363655577598275,293,2018-11-24
124,临沂,0.004779725754722732,290,2018-11-24
51,沧州,0.00476732511764138,288,2018-11-24
34,武汉,0.004766167277675775,291,2018-11-24
18,天津,0.004703910392112404,284,2018-11-24
63,邢台,0.004695089055967704,285,2018-11-24
5,上海,0.004668259578985354,282,2018-11-24
168,常德,0.004632160495941964,285,2018-11-24
2,东莞,0.004607108629054932,276,2018-11-24
50,石家庄,0.0046022486308763344,280,2018-11-24
4,苏州,0.004591072650741692,276,2018-11-24
88,邯郸,0.004570724615663079,281,2018-11-24
46,潍坊,0.004570543920091848,274,2018-11-24
48,贵阳,0.0045702948412479315,275,2018-11-24
210,襄阳,0.004563575466332119,282,2018-11-24
37,开封,0.004562514260530038,281,2018-11-24
43,济南,0.004508313321964161,276,2018-11-24
47,青岛,0.0044798408656909075,271,2018-11-24
33,唐山,0.004455498411488616,269,2018-11-24
108,菏泽,0.004450544438775332,272,2018-11-24
76,洛阳,0.004434981483911403,273,2018-11-24
60,许昌,0.004431478502872638,268,2018-11-24
53,合肥,0.004429466408044893,270,2018-11-24
125,衡水,0.004401938574847631,268,2018-11-24
65,岳阳,0.004385646061875115,267,2018-11-24
132,平顶山,0.0043796342788081505,266,2018-11-24
26,南京,0.004378061243975883,267,2018-11-24
110,聊城,0.004377688665062031,265,2018-11-24
222,荆门,0.0043751938944141325,269,2018-11-24
163,荆州,0.00436483625947685,268,2018-11-24
45,新乡,0.0043616081424402466,266,2018-11-24
13,杭州,0.0043573341899466635,267,2018-11-24
3,深圳,0.004354557780822745,262,2018-11-24
6,廊坊,0.004340476977407671,258,2018-11-24
109,徐州,0.004287878624581052,261,2018-11-24
136,南宁,0.004279799047590321,258,2018-11-24
151,抚州,0.004262045468142442,260,2018-11-24
0,佛山,0.004249379962028927,254,2018-11-24
231,宜昌,0.0042397734484873285,261,2018-11-24
207,驻马店,0.004236506341739299,259,2018-11-24
62,金华,0.004209031512365758,255,2018-11-24
107,济宁,0.00420637414218538,260,2018-11-24
197,濮阳,0.00420632525036002,257,2018-11-24
106,周口,0.004203682594198738,259,2018-11-24
10,咸阳,0.004200817993416921,251,2018-11-24
85,昆明,0.004160270987607401,250,2018-11-24
55,黄冈,0.004159085958381644,257,2018-11-24
200,赣州,0.0041488964635564875,249,2018-11-24
81,南昌,0.004140356719652404,256,2018-11-24
252,兰州,0.004131495024254201,241,2018-11-24
11,无锡,0.004126844084131142,250,2018-11-24
159,衡阳,0.004094989442906251,246,2018-11-24
206,桂林,0.004074933324824445,250,2018-11-24
264,永州,0.004068531996261368,243,2018-11-24
181,随州,0.00404937681654271,249,2018-11-24
177,上饶,0.004037043218654935,248,2018-11-24
208,信阳,0.0040288413548001814,250,2018-11-24
14,常州,0.004023359049423003,248,2018-11-24
220,榆林,0.004020274908357984,240,2018-11-24
36,渭南,0.004013990468368102,243,2018-11-24
28,晋中,0.004010897968693851,243,2018-11-24
156,安阳,0.004005837583870972,243,2018-11-24
71,秦皇岛,0.003999990208322703,237,2018-11-24
105,九江,0.003992813810857415,246,2018-11-24
22,清远,0.003945255966528516,238,2018-11-24
171,连云港,0.0039428678144794215,238,2018-11-24
73,韶关,0.003941834128251562,241,2018-11-24
102,遵义,0.003941084863989885,237,2018-11-24
67,泰安,0.003938891987857245,240,2018-11-24
66,宁波,0.003936638062289935,241,2018-11-24
164,葫芦岛,0.003925721468287805,234,2018-11-24
161,商丘,0.003922981957677426,243,2018-11-24
120,沈阳,0.0039182030230244975,234,2018-11-24
8,惠州,0.0038931183363319884,234,2018-11-24
42,德州,0.0038915073088298556,236,2018-11-24
90,滨州,0.0038771714943867646,230,2018-11-24
184,柳州,0.0038670202746237106,232,2018-11-24
31,湘潭,0.003866926754641128,234,2018-11-24
35,孝感,0.0038651745711452915,238,2018-11-24
54,六安,0.0038638650112772874,238,2018-11-24
175,运城,0.003833584385787265,234,2018-11-24
260,汉中,0.003825313555616403,231,2018-11-24
149,阜阳,0.0038099365008732377,232,2018-11-24
12,嘉兴,0.0038042963875852785,234,2018-11-24
75,温州,0.00379947666174981,234,2018-11-24
234,十堰,0.0037939364967574454,232,2018-11-24
241,郴州,0.003781005877926226,228,2018-11-24
142,商洛,0.00377695764780148,228,2018-11-24
104,湛江,0.0037670991316631633,220,2018-11-24
61,滁州,0.003732221944781627,231,2018-11-24
17,绍兴,0.0037306339553142137,227,2018-11-24
212,三门峡,0.0037258378732191334,225,2018-11-24
82,宜春,0.003724900468474847,230,2018-11-24
101,焦作,0.0037225807023878194,227,2018-11-24
41,漳州,0.003717991495892284,228,2018-11-24
152,福州,0.0037114779688263025,225,2018-11-24
201,吉安,0.0037113615418380343,225,2018-11-24
235,怀化,0.0037053524529997934,226,2018-11-24
39,南通,0.003701732956223302,223,2018-11-24
138,芜湖,0.0036958211776815285,227,2018-11-24
44,泉州,0.0036853210389072707,223,2018-11-24
84,咸宁,0.0036713923302257416,225,2018-11-24
87,扬州,0.0036664860507392653,223,2018-11-24
49,黔南布依族苗族,0.003659019543703364,219,2018-11-24
91,淄博,0.003656978826687996,223,2018-11-24
74,台州,0.003651486828641146,224,2018-11-24
29,太原,0.003647362547994089,221,2018-11-24
78,乌鲁木齐,0.0036459087140767584,196,2018-11-24
113,宿州,0.003623236211723055,222,2018-11-24
236,湘西土家族苗族,0.0036151657435441577,221,2018-11-24
249,安康,0.0036027695116565735,218,2018-11-24
135,安庆,0.003601651666632345,222,2018-11-24
209,邵阳,0.0035984873001285644,217,2018-11-24
219,鄂尔多斯,0.003597151289882308,212,2018-11-24
23,湖州,0.003593173940277492,222,2018-11-24
93,淮安,0.003587236045358594,217,2018-11-24
99,盐城,0.003580249259039961,218,2018-11-24
59,株洲,0.0035770646134208354,217,2018-11-24
148,亳州,0.003535768472873794,217,2018-11-24
238,池州,0.003534981896767423,218,2018-11-24
94,宿迁,0.003512705038920089,213,2018-11-24
229,呼和浩特,0.003501044495504209,201,2018-11-24
30,江门,0.00349225304253076,202,2018-11-24
251,铜仁,0.0034855764229934205,213,2018-11-24
92,曲靖,0.003482643325425621,210,2018-11-24
25,镇江,0.0034799585874530263,212,2018-11-24
307,酒泉,0.0034695917750590336,193,2018-11-24
56,绵阳,0.003463298523766284,207,2018-11-24
58,烟台,0.003447314340698576,207,2018-11-24
180,衢州,0.0034334457257478536,209,2018-11-24
217,恩施土家族苗族,0.0034208903824936316,208,2018-11-24
57,张家口,0.0034150809867051143,203,2018-11-24
15,中山,0.0033862963332472054,202,2018-11-24
116,长春,0.003364804436558134,194,2018-11-24
182,仙桃,0.003357279010706567,204,2018-11-24
95,马鞍山,0.003351938076798157,205,2018-11-24
70,泰州,0.0033254855283435534,202,2018-11-24
174,临汾,0.0033211794444373425,197,2018-11-24
143,蚌埠,0.003315978402242744,203,2018-11-24
172,达州,0.003310983903706743,200,2018-11-24
19,德阳,0.0033083032101441463,194,2018-11-24
98,毕节,0.0033025751335614105,196,2018-11-24
150,黄石,0.0033019516115008023,202,2018-11-24
232,漯河,0.0032896109754452707,201,2018-11-24
154,吴忠,0.0032852500317716903,187,2018-11-24
114,哈尔滨,0.0032839470576643817,187,2018-11-24
302,平凉,0.003281114282630589,189,2018-11-24
40,厦门,0.0032569804869233276,196,2018-11-24
147,枣庄,0.003256129267592332,196,2018-11-24
119,承德,0.0032522878808371146,192,2018-11-24
216,锦州,0.0032489548911547395,188,2018-11-24
274,三明,0.003234625753774179,198,2018-11-24
214,西宁,0.0032318210874830947,184,2018-11-24
273,中卫,0.003191693242255456,180,2018-11-24
283,天门,0.0031881255217398163,192,2018-11-24
194,景德镇,0.003187398680636529,193,2018-11-24
130,南充,0.0031862459981731837,190,2018-11-24
155,银川,0.003164786742953973,188,2018-11-24
96,益阳,0.0031636369684992843,191,2018-11-24
123,日照,0.0031628227377808885,191,2018-11-24
243,长治,0.003156086049408751,190,2018-11-24
270,贺州,0.0031547384056012226,183,2018-11-24
89,安顺,0.0031497587467035045,188,2018-11-24
211,延安,0.003148617059457578,188,2018-11-24
27,肇庆,0.0031323807688645004,187,2018-11-24
127,红河哈尼族彝族,0.003130981755304192,187,2018-11-24
343,哈密,0.0031077918847788443,171,2018-11-24
256,南平,0.003107454969887082,189,2018-11-24
255,定西,0.003104182745659474,180,2018-11-24
227,盘锦,0.0031019153500451094,179,2018-11-24
134,东营,0.00309941090593149,184,2018-11-24
103,茂名,0.0030973616821504827,174,2018-11-24
309,武威,0.0030922612656809284,174,2018-11-24
199,黔东南苗族侗族,0.0030855356732662686,183,2018-11-24
239,广元,0.003080802654733831,179,2018-11-24
144,遂宁,0.003080324296153054,183,2018-11-24
128,吕梁,0.0030752306909713027,181,2018-11-24
250,龙岩,0.0030574163046031945,183,2018-11-24
280,赤峰,0.0030571315505648396,178,2018-11-24
230,乌兰察布,0.003042386923919807,173,2018-11-24
248,大连,0.00303891801067318,171,2018-11-24
188,泸州,0.0030363326366864623,177,2018-11-24
145,忻州,0.003015666887834091,179,2018-11-24
111,广安,0.0030088084606176586,180,2018-11-24
173,娄底,0.0030080710582683816,179,2018-11-24
213,海东,0.0029993199339471647,161,2018-11-24
254,新余,0.002999143610283044,180,2018-11-24
