,Cityname,Pagerank,Lines,Datetime
95,重庆,0.014011317867897572,273,2022-02-28
9,西安,0.010743325638360635,201,2022-02-28
186,南阳,0.00979276596694999,217,2022-02-28
26,郑州,0.008924848074900614,193,2022-02-28
23,成都,0.0086481652844854,160,2022-02-28
173,南充,0.008062345282042355,135,2022-02-28
200,襄阳,0.00792005208771419,185,2022-02-28
30,天津,0.007607145216456431,167,2022-02-28
1,广州,0.007552849199865624,171,2022-02-28
96,周口,0.007538925894114362,171,2022-02-28
35,长沙,0.00745235864943583,187,2022-02-28
8,咸阳,0.007452154416857467,128,2022-02-28
112,遵义,0.0074448514053580325,171,2022-02-28
19,保定,0.007404117024040951,159,2022-02-28
58,沧州,0.00735750828301804,169,2022-02-28
179,驻马店,0.007342258239041954,175,2022-02-28
176,兰州,0.007279268919073918,82,2022-02-28
50,合肥,0.0071847885323695826,178,2022-02-28
256,广元,0.007053475181970079,102,2022-02-28
38,渭南,0.006998301628340684,134,2022-02-28
80,菏泽,0.006986979482885494,164,2022-02-28
230,荆州,0.006959811583625502,165,2022-02-28
68,岳阳,0.006914776142182505,175,2022-02-28
257,荆门,0.006911316089242981,166,2022-02-28
63,武汉,0.006902995087744159,173,2022-02-28
12,杭州,0.006873143610137362,168,2022-02-28
159,常德,0.00686086195026237,172,2022-02-28
86,黄冈,0.006855880001632079,173,2022-02-28
57,洛阳,0.006854742624088113,143,2022-02-28
165,达州,0.00683133620465086,139,2022-02-28
115,宝鸡,0.006811241609845129,103,2022-02-28
47,石家庄,0.006758010593979188,149,2022-02-28
142,商丘,0.006751982395272555,152,2022-02-28
228,桂林,0.006720304382148259,165,2022-02-28
52,邢台,0.006698369775600544,150,2022-02-28
184,信阳,0.006683256745511138,166,2022-02-28
213,三门峡,0.006668278128099376,124,2022-02-28
175,定西,0.006574409913898923,68,2022-02-28
316,陇南,0.006554134557874969,74,2022-02-28
102,临沂,0.006546194224263288,156,2022-02-28
5,北京,0.006509296048265206,141,2022-02-28
245,十堰,0.006504662078111308,136,2022-02-28
37,济南,0.006501507596513226,150,2022-02-28
224,铜仁,0.006488220130260531,159,2022-02-28
64,邯郸,0.006477433967077922,150,2022-02-28
25,开封,0.006413279148032764,153,2022-02-28
242,怀化,0.006382564025838157,153,2022-02-28
231,宜昌,0.006354539606678788,157,2022-02-28
122,平顶山,0.006354519626625293,154,2022-02-28
43,许昌,0.006327757071624074,144,2022-02-28
66,昆明,0.006304659229308802,124,2022-02-28
56,唐山,0.006289065288892054,138,2022-02-28
219,汉中,0.00628592843205809,118,2022-02-28
236,恩施土家族苗族,0.00626257662551592,148,2022-02-28
33,新乡,0.006257516726203703,150,2022-02-28
163,衡阳,0.006215330118094937,156,2022-02-28
62,孝感,0.006205478729921835,156,2022-02-28
92,九江,0.006178104222079654,158,2022-02-28
132,安庆,0.006170522611746454,158,2022-02-28
49,黔南布依族苗族,0.0061259235798519955,140,2022-02-28
198,榆林,0.006122849219420834,106,2022-02-28
281,巴中,0.006116484455643453,117,2022-02-28
48,贵阳,0.0060900760940822765,139,2022-02-28
209,安康,0.006073927571430922,133,2022-02-28
7,上海,0.005982695700248073,143,2022-02-28
194,赣州,0.005968939994082026,152,2022-02-28
4,廊坊,0.005964122632470083,134,2022-02-28
2,东莞,0.005951366315664363,132,2022-02-28
266,酒泉,0.005950304586715693,50,2022-02-28
40,潍坊,0.0059423477153157855,138,2022-02-28
6,苏州,0.005913917627314794,147,2022-02-28
101,湛江,0.0058940028730101734,126,2022-02-28
44,金华,0.00586596363383441,149,2022-02-28
104,毕节,0.005841208503619879,128,2022-02-28
83,徐州,0.005801172447594154,142,2022-02-28
0,佛山,0.005796577225766639,135,2022-02-28
70,南昌,0.005778182961688351,148,2022-02-28
32,南京,0.005769233660085282,145,2022-02-28
89,聊城,0.005745706647415213,137,2022-02-28
152,阜阳,0.005742680908873134,141,2022-02-28
65,曲靖,0.005702327343499764,117,2022-02-28
79,济宁,0.005690202413252683,139,2022-02-28
69,宜春,0.005665811677149228,144,2022-02-28
36,德州,0.005622179098226921,135,2022-02-28
168,抚州,0.005604805864186432,142,2022-02-28
310,平凉,0.005598263809912816,71,2022-02-28
188,泸州,0.005588497394876095,109,2022-02-28
105,广安,0.005527519668147259,101,2022-02-28
183,遂宁,0.005471866074275149,87,2022-02-28
143,南宁,0.005456949606308633,119,2022-02-28
193,吉安,0.005448878753966383,139,2022-02-28
97,衡水,0.005437147590040291,130,2022-02-28
195,咸宁,0.005410117014458423,138,2022-02-28
106,绵阳,0.005408299064863685,87,2022-02-28
123,上饶,0.005399096963845848,137,2022-02-28
166,运城,0.005395090060825567,116,2022-02-28
251,永州,0.0053745197597326435,132,2022-02-28
51,六安,0.0053491491470593795,137,2022-02-28
271,湘西土家族苗族,0.005342828906540541,132,2022-02-28
210,昭通,0.005307081611209588,100,2022-02-28
208,邵阳,0.005297762715471144,129,2022-02-28
288,武威,0.005233710568324184,50,2022-02-28
277,张掖,0.005229966905403918,46,2022-02-28
189,黔东南苗族侗族,0.005188982017826092,122,2022-02-28
78,温州,0.005170592076767554,131,2022-02-28
