,Cityname,Pagerank,Lines,Datetime
68,重庆,0.004723276965017134,338,2020-09-07
18,成都,0.004644720716493958,333,2020-09-07
7,北京,0.004605156259235228,331,2020-09-07
15,保定,0.00458975076564044,332,2020-09-07
28,郑州,0.004512912523560939,327,2020-09-07
9,西安,0.004500925006014245,325,2020-09-07
3,广州,0.004487778516701608,321,2020-09-07
4,苏州,0.004444889757883718,322,2020-09-07
183,南阳,0.0043753187606885265,321,2020-09-07
19,天津,0.004353912207382294,317,2020-09-07
5,上海,0.004344945992886638,317,2020-09-07
70,邯郸,0.004321349178280874,317,2020-09-07
13,杭州,0.0043020068928309365,314,2020-09-07
45,武汉,0.00428831308649565,311,2020-09-07
61,洛阳,0.004283045089520371,311,2020-09-07
123,衡水,0.004281058915450616,312,2020-09-07
31,新乡,0.004271906674963468,314,2020-09-07
35,济南,0.00426992215660303,312,2020-09-07
36,潍坊,0.004268384359134073,311,2020-09-07
94,临沂,0.004243400572412073,309,2020-09-07
49,石家庄,0.004240119956006593,311,2020-09-07
74,济宁,0.004205219977826362,310,2020-09-07
75,菏泽,0.0041995179739070165,308,2020-09-07
2,佛山,0.004167169543645412,298,2020-09-07
39,长沙,0.004165707511196718,304,2020-09-07
46,沧州,0.004159786485045686,305,2020-09-07
55,邢台,0.004157035415525875,305,2020-09-07
37,青岛,0.004109465871947135,300,2020-09-07
8,咸阳,0.0041089487666033314,298,2020-09-07
187,驻马店,0.004092283000417273,301,2020-09-07
30,南京,0.004089866863193408,298,2020-09-07
0,东莞,0.0040894401713002515,292,2020-09-07
83,聊城,0.004069702902200735,299,2020-09-07
1,深圳,0.004069249607438314,288,2020-09-07
111,周口,0.004056134490026621,297,2020-09-07
41,渭南,0.004050109641976385,297,2020-09-07
226,襄阳,0.004038138632595201,298,2020-09-07
128,平顶山,0.0040263732268998355,296,2020-09-07
204,榆林,0.004009723563865137,286,2020-09-07
103,徐州,0.004001176968129835,295,2020-09-07
47,贵阳,0.004000546341742454,287,2020-09-07
6,廊坊,0.003997592342554331,290,2020-09-07
168,荆州,0.003991422394244209,294,2020-09-07
63,合肥,0.003989593878414503,294,2020-09-07
153,商丘,0.003979749366481526,294,2020-09-07
27,开封,0.003976018093379846,293,2020-09-07
33,唐山,0.003933629151333289,286,2020-09-07
90,昆明,0.003917862180407089,284,2020-09-07
34,德州,0.003902854085529042,286,2020-09-07
136,南宁,0.00389144160352681,277,2020-09-07
160,常德,0.0038855838367879278,285,2020-09-07
212,兰州,0.0038797233995262227,272,2020-09-07
10,无锡,0.0038751498659200384,283,2020-09-07
188,信阳,0.0038686209945365674,283,2020-09-07
50,许昌,0.0038669285862009692,284,2020-09-07
25,清远,0.003864698901620232,277,2020-09-07
60,金华,0.0038548971067958945,281,2020-09-07
148,安阳,0.0038487509199419375,284,2020-09-07
22,晋中,0.0038321366763336305,280,2020-09-07
151,运城,0.0038259716130008073,281,2020-09-07
118,遵义,0.0038228869997038416,277,2020-09-07
72,淄博,0.0038183796027517385,279,2020-09-07
67,宁波,0.0038120185705666854,277,2020-09-07
66,岳阳,0.0038041360287396995,279,2020-09-07
246,荆门,0.0038018141809735033,280,2020-09-07
54,滁州,0.0037955694516526323,278,2020-09-07
225,三门峡,0.0037863650488874382,273,2020-09-07
44,孝感,0.003776313135895463,277,2020-09-07
16,常州,0.0037721949387999245,277,2020-09-07
11,惠州,0.0037655437590916815,270,2020-09-07
89,南昌,0.0037510774643329603,274,2020-09-07
12,嘉兴,0.0037439255962355726,276,2020-09-07
99,温州,0.0037402003945749577,273,2020-09-07
216,赣州,0.0037373305144245477,271,2020-09-07
165,衡阳,0.0037182050697891177,268,2020-09-07
229,宜昌,0.0037087620261403017,271,2020-09-07
23,太原,0.0037085712895013213,270,2020-09-07
232,桂林,0.0037076311961761355,269,2020-09-07
62,黄冈,0.0037027475987222126,272,2020-09-07
149,濮阳,0.003700127924019192,272,2020-09-07
40,南通,0.003699433961105364,270,2020-09-07
48,黔南布依族苗族,0.003697392634750998,269,2020-09-07
14,绍兴,0.0036920781703832237,268,2020-09-07
167,阜阳,0.003681370750395441,271,2020-09-07
98,台州,0.003681338046698523,268,2020-09-07
117,九江,0.0036803187628261323,270,2020-09-07
261,随州,0.0036762134659139587,271,2020-09-07
88,宜春,0.003668886529500384,268,2020-09-07
102,宿州,0.003651860002191503,268,2020-09-07
138,商洛,0.0036514047309740066,264,2020-09-07
58,张家口,0.0036377830191601564,265,2020-09-07
240,十堰,0.003622360218829804,264,2020-09-07
278,永州,0.003611958464766961,259,2020-09-07
114,湛江,0.0036064204549149824,252,2020-09-07
73,滨州,0.003598463845209442,259,2020-09-07
57,泉州,0.003597361954955576,260,2020-09-07
220,恩施土家族苗族,0.003596970621370577,261,2020-09-07
