,Cityname,Pagerank,Lines,Datetime
7,北京,0.004955846478932958,319,2019-11-27
68,重庆,0.004909389225497757,318,2019-11-27
32,郑州,0.004859038039773813,316,2019-11-27
9,西安,0.004850138985225131,319,2019-11-27
19,成都,0.0047699169534685835,309,2019-11-27
164,南阳,0.004701279015647637,311,2019-11-27
21,天津,0.004642473099068374,303,2019-11-27
3,广州,0.004631661166987725,300,2019-11-27
5,上海,0.004576488074661678,298,2019-11-27
38,济南,0.0045720509074318105,302,2019-11-27
25,保定,0.0045688244468070245,299,2019-11-27
50,石家庄,0.004562981208207393,298,2019-11-27
34,长沙,0.004541855818941481,297,2019-11-27
58,邢台,0.0044871455320980025,298,2019-11-27
72,邯郸,0.004477500073767488,294,2019-11-27
45,潍坊,0.0044567182638534176,292,2019-11-27
1,深圳,0.004448974981817381,290,2019-11-27
42,沧州,0.004445036401887762,290,2019-11-27
74,岳阳,0.0044287289334046485,290,2019-11-27
8,咸阳,0.0044207037506541315,289,2019-11-27
44,武汉,0.004414707062909451,293,2019-11-27
82,菏泽,0.004346260272055069,288,2019-11-27
31,开封,0.004329179740695895,290,2019-11-27
4,苏州,0.00432706742821878,288,2019-11-27
46,青岛,0.0043120468140969825,282,2019-11-27
102,临沂,0.004307401888257006,285,2019-11-27
120,衡水,0.0043068750331635205,285,2019-11-27
0,东莞,0.004303925904191267,280,2019-11-27
199,襄阳,0.004288249564509195,288,2019-11-27
39,新乡,0.004265737952532875,284,2019-11-27
13,杭州,0.004256459603101242,282,2019-11-27
52,贵阳,0.004203299439705834,274,2019-11-27
2,佛山,0.004202114974548207,271,2019-11-27
202,驻马店,0.004197116054765872,278,2019-11-27
35,唐山,0.004182575656058147,276,2019-11-27
6,廊坊,0.004180902637119287,274,2019-11-27
100,聊城,0.004164206185613183,279,2019-11-27
108,徐州,0.004156681960362455,277,2019-11-27
180,常德,0.004154373066832317,276,2019-11-27
28,南京,0.004144051906439886,275,2019-11-27
165,荆州,0.0041319575835658045,274,2019-11-27
81,济宁,0.004129016859944268,273,2019-11-27
49,许昌,0.004119496169402959,270,2019-11-27
60,黄冈,0.004109940217775964,273,2019-11-27
179,衡阳,0.004098521612797931,269,2019-11-27
66,合肥,0.004095858425169152,272,2019-11-27
238,荆门,0.004094008781559079,273,2019-11-27
161,商丘,0.004089175563874248,273,2019-11-27
99,周口,0.004086157424160021,270,2019-11-27
75,洛阳,0.004081974166395611,272,2019-11-27
43,孝感,0.004073947012475586,269,2019-11-27
125,南宁,0.004072821029369622,265,2019-11-27
84,昆明,0.004069301838907241,267,2019-11-27
208,信阳,0.0040515192133711506,269,2019-11-27
177,濮阳,0.004045093385562507,267,2019-11-27
127,平顶山,0.004021955653071273,267,2019-11-27
37,德州,0.004014768155381851,264,2019-11-27
205,桂林,0.004014210652511838,263,2019-11-27
210,赣州,0.004012903606693275,260,2019-11-27
47,渭南,0.003980218454503896,262,2019-11-27
204,榆林,0.003964533228220203,259,2019-11-27
242,宜昌,0.0039627345258643,263,2019-11-27
10,无锡,0.003945153904721249,262,2019-11-27
23,晋中,0.003933015452445426,260,2019-11-27
149,运城,0.003927665791693198,261,2019-11-27
77,滨州,0.0039172293760324816,256,2019-11-27
216,三门峡,0.003910522308060116,255,2019-11-27
59,金华,0.003902717453545694,258,2019-11-27
265,永州,0.0038999830691992666,254,2019-11-27
162,安阳,0.0038965139393830487,257,2019-11-27
86,南昌,0.0038898511105371863,255,2019-11-27
228,随州,0.0038709158442212033,257,2019-11-27
239,兰州,0.003861193984104324,246,2019-11-27
87,台州,0.0038558094593031268,255,2019-11-27
12,嘉兴,0.0038473876224643043,256,2019-11-27
237,十堰,0.003840081232803403,256,2019-11-27
106,秦皇岛,0.0038355149794640922,247,2019-11-27
112,沈阳,0.0038220853074638103,247,2019-11-27
11,惠州,0.003817221672073119,249,2019-11-27
65,张家口,0.0037901164876502384,245,2019-11-27
156,连云港,0.003788173131408893,247,2019-11-27
55,滁州,0.003787548541871534,251,2019-11-27
61,宁波,0.0037834995332771634,248,2019-11-27
118,遵义,0.003776507625015015,247,2019-11-27
183,葫芦岛,0.003760368559589514,244,2019-11-27
71,淄博,0.003757912210865671,247,2019-11-27
116,咸宁,0.0037325012826756967,248,2019-11-27
33,湘潭,0.0037139598906024843,244,2019-11-27
253,铜仁,0.0037038295503192104,244,2019-11-27
200,抚州,0.003689775455882333,246,2019-11-27
255,汉中,0.003682063382371574,240,2019-11-27
88,温州,0.0036764918496965835,243,2019-11-27
22,清远,0.0036762491548859876,241,2019-11-27
213,延安,0.003676120152696541,244,2019-11-27
249,怀化,0.003671520819251582,240,2019-11-27
51,泰安,0.003661315594058406,242,2019-11-27
245,郴州,0.003658066668744352,238,2019-11-27
17,常州,0.003657989206123376,244,2019-11-27
67,六安,0.003649969322332954,244,2019-11-27
103,韶关,0.0036469866304705166,239,2019-11-27
114,盐城,0.003637924230919754,242,2019-11-27
154,阜阳,0.0036372885915796917,238,2019-11-27
57,株洲,0.0036241150434666697,242,2019-11-27
97,湛江,0.003616889550129561,226,2019-11-27
53,黔南布依族苗族,0.003615578894914655,233,2019-11-27
85,宜春,0.003614610831579699,240,2019-11-27
158,安庆,0.003613513249157186,242,2019-11-27
121,九江,0.0036019517060804527,240,2019-11-27
185,上饶,0.0035926999001320305,235,2019-11-27
78,淮安,0.0035858643439081574,235,2019-11-27
150,商洛,0.003578088901355827,236,2019-11-27
14,绍兴,0.0035671659646627028,236,2019-11-27
95,曲靖,0.003558766418649154,232,2019-11-27
79,宿迁,0.003556624708615579,235,2019-11-27
41,漳州,0.0035471625070600528,230,2019-11-27
24,太原,0.0035459785208377,230,2019-11-27
80,焦作,0.0035459531304777065,235,2019-11-27
26,湖州,0.0035389235108999454,235,2019-11-27
220,漯河,0.0035331388543288007,234,2019-11-27
209,吉安,0.003532388008885023,230,2019-11-27
92,扬州,0.0035278082652515576,233,2019-11-27
230,邵阳,0.003525603948748599,231,2019-11-27
36,南通,0.0035162147210396166,233,2019-11-27
246,安康,0.003512277927172823,230,2019-11-27
107,宿州,0.003499897932383056,233,2019-11-27
141,南充,0.0034856897884573044,226,2019-11-27
98,毕节,0.0034828929281897924,224,2019-11-27
203,鄂尔多斯,0.0034726083423678943,222,2019-11-27
148,临汾,0.0034590331464559206,227,2019-11-27
250,湘西土家族苗族,0.003454217833217336,227,2019-11-27
146,福州,0.0034508611985738973,226,2019-11-27
15,中山,0.0034496204412292853,219,2019-11-27
56,烟台,0.0034471244571299053,223,2019-11-27
48,泉州,0.003443595230821968,226,2019-11-27
191,柳州,0.0034013932577823675,225,2019-11-27
122,东营,0.0033887007574305785,218,2019-11-27
214,恩施土家族苗族,0.0033870333215178902,222,2019-11-27
269,池州,0.003385087766008281,224,2019-11-27
76,绵阳,0.00337418175069696,216,2019-11-27
101,日照,0.0033733156091167323,219,2019-11-27
153,亳州,0.003334117684181852,218,2019-11-27
166,达州,0.0033311157190037237,220,2019-11-27
232,长治,0.0033243288646741132,217,2019-11-27
104,哈尔滨,0.003322947263249901,208,2019-11-27
151,芜湖,0.003312738806245243,220,2019-11-27
29,江门,0.0033074623544232075,206,2019-11-27
311,天水,0.0032970971508892687,208,2019-11-27
69,乌鲁木齐,0.0032882431516833553,200,2019-11-27
93,安顺,0.0032758195511140933,213,2019-11-27
27,镇江,0.0032599990085448293,215,2019-11-27
299,平凉,0.0032474821999608195,208,2019-11-27
89,泰州,0.003242553859238,213,2019-11-27
178,衢州,0.0032404931642867232,214,2019-11-27
194,锦州,0.003236868901658879,206,2019-11-27
217,呼和浩特,0.0032336086687289167,203,2019-11-27
167,鹤壁,0.003230339526546208,210,2019-11-27
334,哈密,0.003227940589322665,200,2019-11-27
168,黄石,0.0032275008505725108,213,2019-11-27
94,益阳,0.0032246488578981714,210,2019-11-27
292,酒泉,0.003224609906998462,201,2019-11-27
130,忻州,0.0031955326112019424,206,2019-11-27
221,仙桃,0.003170090890142795,207,2019-11-27
91,长春,0.0031662986787461276,198,2019-11-27
134,承德,0.0031622479250755725,202,2019-11-27
138,枣庄,0.003158425303582766,208,2019-11-27
18,眉山,0.003140941507014455,200,2019-11-27
206,宣城,0.003140147747996359,206,2019-11-27
40,厦门,0.003115263084900466,203,2019-11-27
234,广元,0.0031152538456935223,198,2019-11-27
20,德阳,0.0031140679122072636,199,2019-11-27
137,蚌埠,0.0031025223557466955,204,2019-11-27
96,茂名,0.0030963393451829612,190,2019-11-27
143,宝鸡,0.003093903129692227,199,2019-11-27
207,黔东南苗族侗族,0.003092332289644109,200,2019-11-27
241,定西,0.0030889550946523988,194,2019-11-27
195,娄底,0.003083915140763456,201,2019-11-27
135,吴忠,0.0030784388228435318,194,2019-11-27
197,西宁,0.00307504115300813,192,2019-11-27
117,吕梁,0.0030634018535531803,197,2019-11-27
201,景德镇,0.0030574379934287326,200,2019-11-27
111,马鞍山,0.003054103866601572,201,2019-11-27
136,银川,0.0030506170185232934,196,2019-11-27
181,泸州,0.0030419513840576843,195,2019-11-27
129,广安,0.0030330650420139003,194,2019-11-27
123,淮南,0.0030317145430487796,196,2019-11-27
318,巴音郭楞蒙古,0.0030148738184467526,179,2019-11-27
30,肇庆,0.0030136315776898267,194,2019-11-27
261,梧州,0.00300693832525217,188,2019-11-27
229,六盘水,0.0029965410426368794,193,2019-11-27
307,武威,0.002994463776875741,186,2019-11-27
263,赤峰,0.0029908073877694024,188,2019-11-27
172,大同,0.0029866677694197715,190,2019-11-27
109,河源,0.0029715214455296336,191,2019-11-27
62,揭阳,0.002953974286738764,190,2019-11-27
271,龙岩,0.0029323784693626753,191,2019-11-27
163,遂宁,0.0029222058937550094,186,2019-11-27
240,白银,0.002916445778468675,181,2019-11-27
252,中卫,0.002915464726580327,183,2019-11-27
174,百色,0.002909544834330359,184,2019-11-27
225,盘锦,0.002906581900965829,182,2019-11-27
258,黔西南布依族苗族,0.0029028454561840795,185,2019-11-27
331,张掖,0.002898256376566903,180,2019-11-27
140,凉山彝族,0.0028860698799787776,182,2019-11-27
132,红河哈尼族彝族,0.002881396862077379,184,2019-11-27
298,固原,0.0028644833499974543,180,2019-11-27
186,宜宾,0.0028543723193702668,181,2019-11-27
272,三明,0.002832486463562042,184,2019-11-27
155,鞍山,0.0028320293789505895,177,2019-11-27
257,北海,0.0028265244119274543,172,2019-11-27
300,天门,0.0028231162089471813,182,2019-11-27
254,新余,0.0028219489521802152,183,2019-11-27
295,萍乡,0.0028180214251657125,181,2019-11-27
247,南平,0.0028104724477985123,183,2019-11-27
211,梅州,0.0028056520288439715,178,2019-11-27
224,昭通,0.0028047776054397682,177,2019-11-27
278,贺州,0.0028038624002824685,174,2019-11-27
90,四平,0.0027766895140346904,171,2019-11-27
126,崇左,0.002770163714020918,173,2019-11-27
218,乌兰察布,0.0027692169162354817,172,2019-11-27
329,海西蒙古族藏族,0.002766891775345561,165,2019-11-27
70,昌吉回族,0.002757189017878934,163,2019-11-27
251,包头,0.0027493765101786363,170,2019-11-27
139,楚雄彝族,0.002738912685212419,170,2019-11-27
16,珠海,0.0027245902306315124,170,2019-11-27
190,来宾,0.00272403702204387,174,2019-11-27
233,晋城,0.002713053726552001,174,2019-11-27
236,大连,0.002712682030160812,165,2019-11-27
133,威海,0.002712422437845704,170,2019-11-27
270,济源,0.002705316402789573,174,2019-11-27
244,鹰潭,0.0027015396131467445,173,2019-11-27
171,朔州,0.0026904824765802042,169,2019-11-27
175,大理白族,0.0026864589194546045,168,2019-11-27
243,巴中,0.0026842220518871157,170,2019-11-27
64,乐山,0.0026803589244063794,167,2019-11-27
73,鄂州,0.0026742687096460833,173,2019-11-27
176,阳江,0.0026541643741438757,157,2019-11-27
152,云浮,0.0026407588997329453,163,2019-11-27
124,铁岭,0.0026363210606455485,160,2019-11-27
110,资阳,0.0026301078300170265,166,2019-11-27
184,河池,0.0026245455905999186,160,2019-11-27
281,潜江,0.0026226785253303,168,2019-11-27
145,宁德,0.002618011153331585,165,2019-11-27
302,吐鲁番,0.002613258480152623,152,2019-11-27
160,海口,0.002595757409862926,153,2019-11-27
294,庆阳,0.0025922119888604376,164,2019-11-27
256,阳泉,0.0025878516428105196,163,2019-11-27
189,钦州,0.0025722667120807335,156,2019-11-27
63,汕头,0.0025695381231826317,162,2019-11-27
142,淮北,0.0025690214005571962,165,2019-11-27
282,通辽,0.0025610268408020474,155,2019-11-27
268,铜陵,0.0025526974094995008,164,2019-11-27
312,陇南,0.0025521761928993664,156,2019-11-27
198,丽水,0.002550119637515734,163,2019-11-27
317,阿克苏,0.0025277616507225183,146,2019-11-27
273,文山壮族苗族,0.002516275235443382,156,2019-11-27
212,贵港,0.0024896846760009686,153,2019-11-27
187,自贡,0.002484076075445505,153,2019-11-27
196,海东,0.0024789800586691797,149,2019-11-27
169,莆田,0.002471566514510654,156,2019-11-27
226,玉林,0.002463320248041882,149,2019-11-27
285,张家界,0.0024567577863540647,156,2019-11-27
147,内江,0.0024435989198420206,150,2019-11-27
310,巴彦淖尔,0.0024426471919715077,146,2019-11-27
83,玉溪,0.002419684470755089,148,2019-11-27
173,松原,0.0024155794172111187,144,2019-11-27
193,三亚,0.002370586363258104,132,2019-11-27
115,雅安,0.0023473168567314574,141,2019-11-27
338,阿拉善盟,0.0023442949241271964,137,2019-11-27
266,保山,0.0023421003329544368,142,2019-11-27
259,阜新,0.002327446957591977,139,2019-11-27
279,黄山,0.00232315370708674,147,2019-11-27
182,大庆,0.0023129205844157298,135,2019-11-27
235,营口,0.0023084380762398347,138,2019-11-27
320,锡林郭勒盟,0.00227918546052699,137,2019-11-27
222,防城港,0.0022708239097403897,136,2019-11-27
262,朝阳,0.0022545299844829725,135,2019-11-27
227,铜川,0.0022357716085537518,138,2019-11-27
170,汕尾,0.0022188208552739444,135,2019-11-27
119,潮州,0.0021861744689880705,134,2019-11-27
322,伊犁哈萨克,0.0021806348669777425,120,2019-11-27
144,吉林,0.002156197992290916,122,2019-11-27
283,齐齐哈尔,0.002128427643047978,120,2019-11-27
105,绥化,0.002106798527546911,121,2019-11-27
319,兴安盟,0.002069001300758672,118,2019-11-27
336,金昌,0.0020648548949164544,121,2019-11-27
277,西双版纳傣族,0.0020542092053196645,122,2019-11-27
276,临夏回族,0.002051953112619156,119,2019-11-27
327,喀什,0.0020076927992499975,106,2019-11-27
274,攀枝花,0.0019446658212995504,113,2019-11-27
157,舟山,0.001923506053827671,115,2019-11-27
113,抚顺,0.0019234905599568267,107,2019-11-27
128,辽阳,0.0019228595209444957,110,2019-11-27
323,海南藏族,0.0018981619761260584,105,2019-11-27
275,普洱,0.001871617485933271,108,2019-11-27
325,塔城,0.0018577088041824305,97,2019-11-27
288,呼伦贝尔,0.0018450060461433684,102,2019-11-27
54,阿坝藏族羌族,0.0018425514227774422,100,2019-11-27
267,德宏傣族景颇族,0.0018352569508464645,104,2019-11-27
290,白城,0.0018232169142071706,100,2019-11-27
219,石嘴山,0.001809111392914879,104,2019-11-27
305,拉萨,0.0018018982823782073,95,2019-11-27
223,丽江,0.001796656739773061,100,2019-11-27
315,乌海,0.0017634036540567356,101,2019-11-27
301,丹东,0.0017192564077657194,93,2019-11-27
264,牡丹江,0.0017102477348776566,91,2019-11-27
296,通化,0.0016894113944690104,90,2019-11-27
284,佳木斯,0.001639008343492387,85,2019-11-27
353,和田,0.0016322688976538732,79,2019-11-27
316,延边朝鲜族,0.0016115976531121622,85,2019-11-27
