,Cityname,Pagerank,Lines,Datetime
90,重庆,0.004735320795843274,335,2020-11-14
7,北京,0.00467726075561991,329,2020-11-14
15,成都,0.004658614506352005,332,2020-11-14
3,广州,0.004650933740907625,328,2020-11-14
28,郑州,0.004597017678596294,330,2020-11-14
8,西安,0.004537593521865654,328,2020-11-14
27,保定,0.004531976529682945,326,2020-11-14
41,武汉,0.004493027429141773,323,2020-11-14
173,南阳,0.004471236171395286,324,2020-11-14
58,石家庄,0.0044608230093735384,317,2020-11-14
50,唐山,0.004375199097157458,313,2020-11-14
114,临沂,0.004358988754489703,317,2020-11-14
4,苏州,0.004337677496546077,314,2020-11-14
35,长沙,0.004326919583516167,312,2020-11-14
42,天津,0.004319036413784461,310,2020-11-14
48,潍坊,0.00429410654466921,311,2020-11-14
72,邯郸,0.004293092123780872,310,2020-11-14
64,邢台,0.0042831084896649526,311,2020-11-14
31,济南,0.004279834811898913,311,2020-11-14
61,沧州,0.0042300618685137846,306,2020-11-14
66,岳阳,0.004228257713142438,301,2020-11-14
26,南京,0.0042019874576069,306,2020-11-14
13,杭州,0.0041962212825660495,303,2020-11-14
81,菏泽,0.0041949380681364475,306,2020-11-14
29,开封,0.00419117653115203,304,2020-11-14
6,廊坊,0.004188856668445837,303,2020-11-14
130,衡水,0.004167414566760275,301,2020-11-14
0,东莞,0.004160355278160255,294,2020-11-14
92,徐州,0.004155123741222818,301,2020-11-14
56,合肥,0.004138061151202676,302,2020-11-14
5,上海,0.004133778753445817,301,2020-11-14
9,咸阳,0.004131611852552959,300,2020-11-14
80,济宁,0.0041304744276768135,301,2020-11-14
199,信阳,0.004121307148646835,299,2020-11-14
195,驻马店,0.004118138711817704,296,2020-11-14
2,佛山,0.00411405222198585,292,2020-11-14
125,南宁,0.004102789595431653,293,2020-11-14
209,襄阳,0.00409575604762446,300,2020-11-14
164,荆州,0.004088993853379874,297,2020-11-14
43,新乡,0.004078711698789505,297,2020-11-14
49,青岛,0.0040669781242714,293,2020-11-14
139,商丘,0.004062223612406987,295,2020-11-14
70,洛阳,0.004059335727021252,294,2020-11-14
102,周口,0.004049483466700378,293,2020-11-14
11,无锡,0.004040870314061563,291,2020-11-14
87,聊城,0.004036365544077972,293,2020-11-14
52,许昌,0.004032608324924002,294,2020-11-14
63,宁波,0.004022023495426639,290,2020-11-14
39,德州,0.0040022147424478936,289,2020-11-14
89,昆明,0.0039877204246697145,286,2020-11-14
161,常德,0.003984402505178059,289,2020-11-14
240,荆门,0.003962764882363791,291,2020-11-14
123,平顶山,0.003961093154733093,290,2020-11-14
235,兰州,0.0039480519709095005,278,2020-11-14
138,安阳,0.0039369145719908615,285,2020-11-14
1,深圳,0.003916812274848754,280,2020-11-14
33,渭南,0.0039084386406517835,284,2020-11-14
10,惠州,0.0039033598638148525,276,2020-11-14
40,孝感,0.0038934467115352292,284,2020-11-14
44,贵阳,0.00387952759534182,279,2020-11-14
216,赣州,0.003876154580022775,277,2020-11-14
202,桂林,0.003870267485675355,280,2020-11-14
85,南昌,0.003870219153002779,279,2020-11-14
188,濮阳,0.0038579651691981317,279,2020-11-14
148,衡阳,0.0038487754066471114,275,2020-11-14
38,南通,0.0038299547682294323,278,2020-11-14
220,榆林,0.0038279852850335487,275,2020-11-14
22,清远,0.003822831334199286,271,2020-11-14
78,淄博,0.003816591307228622,273,2020-11-14
103,九江,0.0038108020871527037,277,2020-11-14
133,遵义,0.0038070642785198025,271,2020-11-14
94,温州,0.0038037793691841426,275,2020-11-14
83,滨州,0.003799416898518845,274,2020-11-14
17,常州,0.003799222284712066,274,2020-11-14
53,黄冈,0.003787145387448101,277,2020-11-14
