,Cityname,Pagerank,Lines,Datetime
68,重庆,0.005332308834354955,336,2019-03-27
20,成都,0.005161527615823861,324,2019-03-27
7,北京,0.0050544338608698195,317,2019-03-27
9,西安,0.005034532247115142,319,2019-03-27
31,郑州,0.00483709848526383,310,2019-03-27
16,天津,0.0047690443626343,304,2019-03-27
162,南阳,0.004675812645388539,303,2019-03-27
21,保定,0.004645845110901743,293,2019-03-27
50,石家庄,0.004629018587503235,294,2019-03-27
3,广州,0.00460645886383489,293,2019-03-27
77,邯郸,0.004602174590744696,297,2019-03-27
118,临沂,0.004577498520256128,294,2019-03-27
206,襄阳,0.004570947885381466,296,2019-03-27
13,杭州,0.0045597892365537756,293,2019-03-27
10,咸阳,0.004525072055068185,281,2019-03-27
5,上海,0.004516581877623303,289,2019-03-27
57,邢台,0.004513621232776665,287,2019-03-27
41,长沙,0.004504810975667472,292,2019-03-27
37,武汉,0.004504749344012092,293,2019-03-27
87,济宁,0.004498897386124358,291,2019-03-27
4,苏州,0.00447142347253459,289,2019-03-27
30,开封,0.0044485792573168105,290,2019-03-27
52,沧州,0.0044328000752637264,285,2019-03-27
88,菏泽,0.004427092046494204,286,2019-03-27
122,衡水,0.004414422648633345,283,2019-03-27
34,新乡,0.004379254741276332,285,2019-03-27
39,济南,0.004373985104471811,284,2019-03-27
58,合肥,0.004369770739561804,284,2019-03-27
111,聊城,0.0043145584792442715,278,2019-03-27
44,潍坊,0.004295210224013455,274,2019-03-27
65,洛阳,0.004289271936944255,273,2019-03-27
70,岳阳,0.004264349944201517,278,2019-03-27
1,深圳,0.004259561119746582,274,2019-03-27
2,佛山,0.004248105083538656,271,2019-03-27
179,常德,0.004247453394874679,275,2019-03-27
97,徐州,0.004239904951772598,277,2019-03-27
46,唐山,0.004238206510551455,268,2019-03-27
124,平顶山,0.004216962499713027,273,2019-03-27
95,昆明,0.004210064059378646,270,2019-03-27
221,荆门,0.004201504665153445,275,2019-03-27
35,渭南,0.0041829027762895505,262,2019-03-27
155,商丘,0.004178443276561391,269,2019-03-27
60,黄冈,0.004177937366183687,272,2019-03-27
49,许昌,0.004177002768606141,271,2019-03-27
173,驻马店,0.004169639231708808,270,2019-03-27
36,孝感,0.004129651003246504,268,2019-03-27
163,荆州,0.004125280551607833,268,2019-03-27
42,贵阳,0.004121146649245093,266,2019-03-27
45,青岛,0.004113831471312845,264,2019-03-27
8,无锡,0.004102415031480248,269,2019-03-27
203,榆林,0.00410129352792759,256,2019-03-27
