,Cityname,Pagerank,Lines,Datetime
107,重庆,0.007550864,264,2022/10/1
0,广州,0.007268072,249,2022/10/1
16,西安,0.007246764,252,2022/10/1
3,东莞,0.006921822,229,2022/10/1
93,保定,0.006774792,236,2022/10/1
119,天津,0.006649806,222,2022/10/1
51,成都,0.006645346,221,2022/10/1
72,郑州,0.006588634,237,2022/10/1
35,北京,0.006546482,227,2022/10/1
129,南阳,0.006518401,239,2022/10/1
9,苏州,0.006490683,240,2022/10/1
17,杭州,0.006333152,234,2022/10/1
36,武汉,0.006248304,231,2022/10/1
55,南京,0.006202412,231,2022/10/1
8,上海,0.006187011,230,2022/10/1
2,深圳,0.006175074,212,2022/10/1
1,佛山,0.006095502,209,2022/10/1
40,长沙,0.005923484,220,2022/10/1
5,惠州,0.00589083,213,2022/10/1
21,湛江,0.00583114,165,2022/10/1
29,合肥,0.005809462,219,2022/10/1
158,沧州,0.005798511,202,2022/10/1
65,济南,0.005794032,210,2022/10/1
151,驻马店,0.005787403,213,2022/10/1
156,襄阳,0.00577027,216,2022/10/1
4,清远,0.0057436,214,2022/10/1
39,金华,0.00573633,214,2022/10/1
14,无锡,0.005725821,215,2022/10/1
15,咸阳,0.005680692,191,2022/10/1
34,廊坊,0.005677126,196,2022/10/1
97,邯郸,0.005673816,204,2022/10/1
138,石家庄,0.005623376,199,2022/10/1
120,唐山,0.005597037,190,2022/10/1
56,滁州,0.005536816,210,2022/10/1
145,临沂,0.005521981,195,2022/10/1
49,宁波,0.005439905,206,2022/10/1
108,菏泽,0.005432165,203,2022/10/1
37,黄冈,0.005406003,206,2022/10/1
136,信阳,0.005357121,202,2022/10/1
42,岳阳,0.005353708,201,2022/10/1
96,邢台,0.005337244,191,2022/10/1
87,潍坊,0.005335414,183,2022/10/1
130,桂林,0.005286178,189,2022/10/1
63,衢州,0.005250205,195,2022/10/1
61,衡阳,0.005241543,193,2022/10/1
73,开封,0.005227756,194,2022/10/1
81,赣州,0.005207011,196,2022/10/1
38,渭南,0.00519136,185,2022/10/1
184,衡水,0.005186683,189,2022/10/1
59,常德,0.005180663,192,2022/10/1
82,上饶,0.005170314,193,2022/10/1
84,青岛,0.005162685,182,2022/10/1
88,南昌,0.00514131,195,2022/10/1
32,常州,0.005117583,196,2022/10/1
94,荆州,0.005108607,192,2022/10/1
13,江门,0.005099074,140,2022/10/1
12,韶关,0.005097292,192,2022/10/1
80,新乡,0.005089752,188,2022/10/1
46,孝感,0.005076837,190,2022/10/1
67,安庆,0.005074323,194,2022/10/1
31,湖州,0.005071314,193,2022/10/1
69,温州,0.005013035,187,2022/10/1
200,怀化,0.004970223,176,2022/10/1
187,抚州,0.004969137,190,2022/10/1
95,九江,0.00495689,190,2022/10/1
18,绍兴,0.004943016,190,2022/10/1
133,南宁,0.004929179,160,2022/10/1
153,荆门,0.004927801,184,2022/10/1
20,嘉兴,0.004919658,189,2022/10/1
105,许昌,0.004907353,182,2022/10/1
104,徐州,0.004898038,178,2022/10/1
77,周口,0.004887692,183,2022/10/1
30,六安,0.00487482,185,2022/10/1
172,吉安,0.004813526,180,2022/10/1
134,沈阳,0.004789218,146,2022/10/1
174,平顶山,0.004783513,180,2022/10/1
6,肇庆,0.004765359,163,2022/10/1
221,葫芦岛,0.004735217,151,2022/10/1
27,盐城,0.004717474,171,2022/10/1
22,南通,0.004698774,175,2022/10/1
89,宜春,0.004678176,177,2022/10/1
117,商丘,0.004658178,176,2022/10/1
68,台州,0.004652646,178,2022/10/1
83,洛阳,0.004646322,171,2022/10/1
103,聊城,0.004625957,170,2022/10/1
99,连云港,0.004608466,165,2022/10/1
48,泉州,0.004608131,175,2022/10/1
211,榆林,0.004591158,151,2022/10/1
178,宜昌,0.004589449,172,2022/10/1
91,宝鸡,0.004562781,156,2022/10/1
173,秦皇岛,0.004562264,147,2022/10/1
227,遵义,0.004520687,159,2022/10/1
79,德州,0.004516204,162,2022/10/1
207,十堰,0.004503645,165,2022/10/1
114,晋中,0.004500059,160,2022/10/1
7,河源,0.00446889,170,2022/10/1
292,酒泉,0.004455496,113,2022/10/1
256,铜仁,0.004437935,161,2022/10/1
76,永州,0.00443292,159,2022/10/1
149,宣城,0.004429894,170,2022/10/1
181,黔南布依族苗族,0.004416938,151,2022/10/1
265,兰州,0.004412874,138,2022/10/1
58,湘潭,0.004403983,165,2022/10/1
141,南平,0.004371198,167,2022/10/1
137,咸宁,0.004369269,161,2022/10/1
24,中山,0.004350898,152,2022/10/1
86,株洲,0.004336829,162,2022/10/1
131,芜湖,0.004314534,166,2022/10/1
127,昆明,0.004298315,142,2022/10/1
116,淄博,0.004287072,153,2022/10/1
176,安康,0.004285221,155,2022/10/1
182,三明,0.004282152,163,2022/10/1
213,运城,0.004265819,157,2022/10/1
150,滨州,0.004260266,147,2022/10/1
123,长春,0.004245438,123,2022/10/1
43,淮安,0.004225734,156,2022/10/1
217,濮阳,0.0042123,155,2022/10/1
101,福州,0.004185652,159,2022/10/1
109,济宁,0.004175738,157,2022/10/1
180,贵阳,0.004172984,145,2022/10/1
53,漳州,0.004161493,156,2022/10/1
230,三门峡,0.004155965,150,2022/10/1
159,黄石,0.004154358,158,2022/10/1
75,郴州,0.004149528,154,2022/10/1
146,池州,0.004143734,159,2022/10/1
162,商洛,0.00412368,148,2022/10/1
90,邵阳,0.004113615,148,2022/10/1
118,张家口,0.004060151,135,2022/10/1
212,临汾,0.004043218,145,2022/10/1
165,安阳,0.004032607,149,2022/10/1
186,锦州,0.004018241,121,2022/10/1
175,随州,0.003989438,149,2022/10/1
189,湘西土家族苗族,0.003979813,144,2022/10/1
54,泰州,0.003964429,149,2022/10/1
66,泰安,0.00394986,146,2022/10/1
100,扬州,0.003938648,149,2022/10/1
60,镇江,0.003931115,150,2022/10/1
112,马鞍山,0.003908298,147,2022/10/1
250,黔东南苗族侗族,0.003864156,135,2022/10/1
113,太原,0.003859074,140,2022/10/1
154,景德镇,0.00385561,147,2022/10/1
122,黄山,0.003843625,147,2022/10/1
44,宿迁,0.003825468,142,2022/10/1
152,阜阳,0.003823723,145,2022/10/1
128,曲靖,0.003822803,127,2022/10/1
47,厦门,0.003816336,143,2022/10/1
291,哈密,0.00379922,96,2022/10/1
218,哈尔滨,0.00379235,104,2022/10/1
170,达州,0.003775964,135,2022/10/1
92,宿州,0.003771843,143,2022/10/1
140,丽水,0.00375994,142,2022/10/1
237,鄂尔多斯,0.003753212,127,2022/10/1
216,汉中,0.003752726,130,2022/10/1
188,柳州,0.003713163,134,2022/10/1
85,烟台,0.003682464,133,2022/10/1
225,恩施土家族苗族,0.003677894,134,2022/10/1
121,亳州,0.00364763,138,2022/10/1
70,蚌埠,0.003571876,134,2022/10/1
11,梅州,0.003557287,131,2022/10/1
266,定西,0.00352652,100,2022/10/1
62,南充,0.003515399,121,2022/10/1
74,梧州,0.003419811,110,2022/10/1
102,宁德,0.003396514,128,2022/10/1
295,平凉,0.003393225,103,2022/10/1
192,盘锦,0.003364607,99,2022/10/1
183,铜陵,0.00334478,126,2022/10/1
23,云浮,0.003335891,108,2022/10/1
64,淮南,0.003335309,125,2022/10/1
202,漯河,0.003327807,125,2022/10/1
177,枣庄,0.00332384,122,2022/10/1
160,承德,0.003316118,105,2022/10/1
111,龙岩,0.003314963,122,2022/10/1
244,长治,0.003311876,120,2022/10/1
144,日照,0.00330383,120,2022/10/1
193,延安,0.003286717,115,2022/10/1
25,珠海,0.003286049,111,2022/10/1
139,焦作,0.003284382,120,2022/10/1
249,乌兰察布,0.003279438,102,2022/10/1
115,贺州,0.003264648,108,2022/10/1
10,茂名,0.003251723,94,2022/10/1
199,百色,0.00320542,101,2022/10/1
329,海西蒙古族藏族,0.003205267,62,2022/10/1
78,娄底,0.00320298,114,2022/10/1
298,张掖,0.0032006,81,2022/10/1
166,忻州,0.003174116,109,2022/10/1
243,赤峰,0.003169721,95,2022/10/1
135,铁岭,0.003141879,84,2022/10/1
229,海口,0.003130616,57,2022/10/1
242,东营,0.003109371,101,2022/10/1
302,武威,0.003105232,83,2022/10/1
239,鹰潭,0.003087749,113,2022/10/1
168,仙桃,0.003082554,113,2022/10/1
19,阳江,0.003069175,86,2022/10/1
327,吐鲁番,0.003063667,54,2022/10/1
28,揭阳,0.003045995,109,2022/10/1
147,河池,0.003040434,98,2022/10/1
240,安顺,0.00301318,103,2022/10/1
299,黔西南布依族苗族,0.0030118,99,2022/10/1
234,阜新,0.003008489,83,2022/10/1
274,吴忠,0.003006314,88,2022/10/1
41,益阳,0.002998077,107,2022/10/1
233,萍乡,0.00297184,108,2022/10/1
248,呼和浩特,0.002963258,97,2022/10/1
263,乌鲁木齐,0.002960688,50,2022/10/1
258,晋城,0.002936924,106,2022/10/1
45,玉林,0.002912597,92,2022/10/1
209,泸州,0.002906592,94,2022/10/1
57,贵港,0.002883132,92,2022/10/1
179,四平,0.002882801,76,2022/10/1
300,阿拉善盟,0.002862327,68,2022/10/1
155,松原,0.002849409,72,2022/10/1
197,吕梁,0.002848858,97,2022/10/1
254,包头,0.002846208,93,2022/10/1
33,汕头,0.002843558,98,2022/10/1
255,昭通,0.002826299,84,2022/10/1
232,大连,0.002817759,80,2022/10/1
215,新余,0.002810038,102,2022/10/1
132,巴中,0.002794139,92,2022/10/1
171,广元,0.002752354,85,2022/10/1
126,淮北,0.002748884,101,2022/10/1
110,广安,0.002742063,92,2022/10/1
203,鹤壁,0.002729995,96,2022/10/1
304,六盘水,0.002724298,88,2022/10/1
125,鄂州,0.002698729,98,2022/10/1
262,通辽,0.002660543,74,2022/10/1
252,大同,0.002646192,88,2022/10/1
261,阳泉,0.002609396,88,2022/10/1
264,昌吉回族,0.002608877,43,2022/10/1
157,威海,0.002589403,88,2022/10/1
222,红河哈尼族彝族,0.002565589,78,2022/10/1
201,鞍山,0.002550995,71,2022/10/1
